               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087888,            0.057624,            0.017753,             0.85256,              0.2199,             0.20746,            0.070341,            0.051405,            0.043235,             0.00876,             0.07003,             0.00333,             0.00333
                   0,            0.088016,             0.05761,            0.017769,             0.85958,             0.21819,              0.2204,            0.075217,            0.049814,            0.043572,           0.0087626,             0.07003,             0.00333,             0.00333
                   0,            0.088016,             0.05761,            0.017769,             0.85958,             0.21819,              0.2204,            0.075217,            0.049814,            0.043572,           0.0087626,             0.07003,             0.00333,             0.00333
                   0,            0.087888,            0.057624,            0.017753,             0.85256,              0.2199,             0.20746,            0.070341,            0.051405,            0.043235,             0.00876,             0.07003,             0.00333,             0.00333
                   1,             0.06121,            0.057113,            0.010937,             0.88033,             0.24924,             0.27233,            0.099947,            0.045286,            0.042289,           0.0084078,            0.036731,            0.003365,            0.003365
                   0,            0.087888,            0.057624,            0.017753,             0.85256,              0.2199,             0.20746,            0.070341,            0.051405,            0.043235,             0.00876,             0.07003,             0.00333,             0.00333
                   1,             0.06121,            0.057113,            0.010937,             0.88033,             0.24924,             0.27233,            0.099947,            0.045286,            0.042289,           0.0084078,            0.036731,            0.003365,            0.003365
                   0,            0.087888,            0.057624,            0.017753,             0.85256,              0.2199,             0.20746,            0.070341,            0.051405,            0.043235,             0.00876,             0.07003,             0.00333,             0.00333
                   1,             0.06121,            0.057113,            0.010937,             0.88033,             0.24924,             0.27233,            0.099947,            0.045286,            0.042289,           0.0084078,            0.036731,            0.003365,            0.003365
                   0,            0.087888,            0.057624,            0.017753,             0.85256,              0.2199,             0.20746,            0.070341,            0.051405,            0.043235,             0.00876,             0.07003,             0.00333,             0.00333
                   1,            0.064045,            0.056272,            0.010984,             0.93021,              0.2642,             0.31696,             0.10272,            0.045412,            0.042575,           0.0084938,            0.039898,           0.0065314,           0.0065314
                   2,            0.059119,             0.05562,            0.010305,             0.70499,             0.36427,             0.34448,             0.12591,             0.04274,            0.041491,           0.0076939,           0.0096338,           0.0096008,           0.0096008
                   3,            0.055606,            0.054697,           0.0094612,             0.76991,             0.36754,             0.38967,             0.14482,            0.040172,            0.040426,           0.0068909,            0.009406,            0.009406,            0.009406
                   4,            0.053041,            0.053955,           0.0085534,             0.75846,              0.3802,             0.42917,             0.16203,            0.039443,            0.040061,           0.0061583,            0.009406,            0.009406,            0.009406
                   5,            0.051824,            0.053917,           0.0078528,             0.52221,             0.53893,             0.50916,             0.19667,            0.038997,            0.040218,           0.0055515,            0.009208,            0.009208,            0.009208
                   6,            0.050519,            0.053434,           0.0070657,              0.6494,             0.58217,             0.56541,             0.22282,             0.03864,            0.039821,            0.004769,             0.00901,             0.00901,             0.00901
                   7,            0.050095,            0.053142,           0.0064747,             0.67551,               0.601,             0.58734,             0.22663,            0.038854,             0.04006,             0.00421,            0.008812,            0.008812,            0.008812
                   8,            0.049303,            0.052999,           0.0061267,             0.67004,             0.57318,             0.59476,             0.23274,            0.037857,            0.039637,           0.0040417,            0.008614,            0.008614,            0.008614
                   9,            0.049331,            0.052997,           0.0058588,             0.63731,             0.60291,             0.59531,             0.23447,            0.038197,            0.039892,           0.0040202,            0.008416,            0.008416,            0.008416
                  10,             0.04867,             0.05266,           0.0056324,             0.67705,             0.58509,             0.58792,             0.23179,            0.037775,            0.039473,           0.0039086,            0.008218,            0.008218,            0.008218
